Ticker,sector,recommendationKey,targetMeanPrice,targetMedianPrice,targetHighPrice,targetLowPrice,fiftyDayAverage,twoHundredDayAverage,forwardPE,trailingPE,enterpriseToEbitda,returnOnAssets,returnOnEquity,grossMargins,ebitdaMargins,profitMargins,date
CAT,Industrials,hold,390.8161,390.0,490.0,250.0,381.4772,361.34756,15.836181,16.414967,14.097,0.09932,0.53475,0.32529,0.24091,0.1626,2025-02-04
GILD,Healthcare,buy,101.2368,100.0,125.0,80.0,92.3214,79.8313,12.872436,1088.7777,9.935,0.119619995,0.00561,0.77805,0.49291,0.00445,2025-02-04
MMM,Industrials,buy,154.29611,165.0,187.0,96.0,135.108,121.2431,17.851173,20.892561,10.278,0.09032,1.1329399,0.45067,0.24870001,0.13451,2025-02-04
GS,Financial Services,buy,646.1905,640.0,782.0,496.0,596.5954,512.98,12.271902,15.647175,,0.00737,0.1017,0.83236,,0.24648,2025-02-04
ISRG,Healthcare,buy,629.3661,640.0,711.0,350.0,550.8664,477.567,61.18124,90.28816,84.889,0.0795,0.15973,0.66982,0.31844,0.28513,2025-02-04
BLK,Financial Services,buy,1165.2941,1175.0,1275.0,1045.0,1027.293,906.26587,18.791954,24.199665,19.745,0.03597,0.1505,0.49992,0.39636,0.31372,2025-02-04
NOW,Technology,buy,1153.8492,1200.0,1426.0,716.0,1080.659,885.1147,50.845104,147.67982,127.687,0.04698,0.16221,0.79243,0.17431,0.12768,2025-02-04
LMT,Industrials,buy,545.5786,533.365,685.0,418.0,495.2868,514.9602,15.257523,20.326164,13.257,0.09992,0.81037,0.12222,0.14343001,0.09363,2025-02-04
FIS,Technology,buy,94.78846,94.5,126.0,80.0,82.0252,80.15715,14.242491,84.051544,15.055,0.02592,0.03034,0.38062,0.35599998,0.14146,2025-02-04
CVS,Healthcare,buy,65.5776,64.0,93.0,48.01,51.9462,57.41475,9.324484,14.30203,10.173,0.02365,0.06697,0.13809,0.038429998,0.013660001,2025-02-04
ANTM,,,,,,,,,,,,,,,,,2025-02-04
MO,Consumer Defensive,hold,56.20308,57.64,73.0,42.0,53.781,50.1319,9.513203,8.045872,9.214,0.21103,,0.69757,0.59994,0.50511,2025-02-04
SPGI,Financial Services,strong_buy,580.91473,585.0,620.0,480.0,506.9764,483.412,30.355497,45.25903,26.425,0.05667,0.099309996,0.68703,0.48264,0.25792,2025-02-04
BKNG,Consumer Cyclical,buy,5313.148,5315.0,6300.0,3996.33,4991.3887,4219.8315,22.46365,31.650814,21.69,0.15423,,0.84674,0.3116,0.21846001,2025-02-04
DE,Industrials,buy,473.06683,485.5,550.0,341.21,443.9908,401.0658,20.67245,18.419268,11.958,0.07862,0.35481,0.34387,0.25671,0.14698,2025-02-04
ADI,Technology,buy,250.97607,252.5,295.0,210.0,215.7838,220.9811,23.060982,62.807926,26.73,0.0286,0.04658,0.57852,0.44959998,0.17068,2025-02-04
AMAT,Technology,buy,210.8594,207.5,250.0,164.0,174.4368,197.6039,17.187874,20.714617,18.394,0.15205,0.4391,0.47408,0.3055,0.27743,2025-02-04
SYK,Healthcare,buy,422.09714,431.0,465.0,276.0,378.19,354.6826,26.43443,50.696384,28.449,0.071100004,0.18868,0.63971,0.25908002,0.16337,2025-02-04
AXP,Financial Services,hold,313.1844,315.0,371.0,230.0,304.2512,263.9079,18.026146,22.527102,,0.03793,0.3469,0.55698,,0.16698,2025-02-04
CI,Healthcare,buy,367.24582,365.0,438.0,325.0,297.254,329.5625,8.649783,24.067713,13.059,0.027999999,0.07606,0.10114,0.03724,0.01323,2025-02-04
C,Financial Services,buy,92.19444,91.0,116.0,70.0,73.4662,65.2592,8.464138,13.189917,,0.00339,0.03874,,,0.11524,2025-02-04
MDLZ,Consumer Defensive,buy,71.4844,71.0,84.0,61.0,60.3676,67.2669,15.467725,19.90071,12.91,0.05356,0.13552,0.38771,0.20507999,0.10556,2025-02-04
BDX,Healthcare,buy,277.795,275.0,327.54,245.0,230.4202,233.7342,15.535531,41.298126,16.072,0.032479998,0.05633,0.44896,0.25767002,0.07126,2025-02-04
CHTR,Communication Services,hold,399.3526,391.11,525.0,261.0,365.3234,329.99625,7.9939423,9.730054,6.856,0.05407,0.32965,0.39578998,0.39183998,0.085200004,2025-02-04
ZTS,Healthcare,buy,209.36412,205.0,243.0,178.13,170.453,176.49956,27.06542,32.436913,21.952,0.14664,0.47303,0.70094,0.41127998,0.26552,2025-02-04
PLD,Real Estate,buy,129.4,130.0,150.0,104.0,111.7,115.8296,38.364506,35.743202,25.335,0.021140002,0.05662,0.75426,0.69655997,0.37427,2025-02-04
MU,Technology,buy,130.34636,125.0,250.0,70.0,97.7184,108.5419,8.010044,25.977077,13.548,0.01165,0.01743,0.22353001,0.35618,0.03098,2025-02-04
PNC,Financial Services,buy,218.831,215.56,257.0,181.0,200.4268,179.23254,11.5125475,14.481805,,0.00928,0.099020004,,,0.25107,2025-02-04
DUK,Utilities,buy,121.3825,120.5,132.0,111.0,110.393,109.09865,17.757668,20.18492,12.348,0.026619999,0.088369995,0.49901,0.47414002,0.14534001,2025-02-04
USB,Financial Services,buy,57.14286,57.0,65.0,51.0,49.8026,45.1562,9.796756,12.51979,,0.00815,0.09779,,,0.22023001,2025-02-04
SO,Utilities,hold,89.73833,90.5,104.0,71.0,84.1948,83.8065,19.325195,19.393938,12.225,0.0348,0.12713,0.49966,0.49421,0.17867,2025-02-04
TGT,Consumer Defensive,buy,143.26688,145.0,170.0,103.0,134.5846,147.2825,14.636106,14.37964,7.771,0.07233,0.33968,0.28425,0.08603,0.04182,2025-02-04
MMC,Financial Services,hold,230.151,235.5,272.0,179.0,218.2078,217.2637,21.234266,27.27017,16.683,0.08321,0.32048,0.45241,0.30261,0.16822,2025-02-04
CB,Financial Services,buy,298.8676,305.0,330.0,245.0,275.8032,272.77216,10.661292,12.0883665,11.392,0.02915,0.16125,0.28444,0.20774001,0.18277,2025-02-04
NSC,Industrials,buy,276.924,285.0,305.0,175.0,250.3768,242.0706,16.95689,21.878891,12.541,0.06767,0.18303,0.48373002,0.48373002,0.19849001,2025-02-04
SCHW,Financial Services,buy,89.5,90.0,105.0,72.0,78.4816,72.10005,15.779078,27.35786,,0.0109399995,0.12111,0.96776,,0.27471,2025-02-04
TJX,Consumer Cyclical,buy,130.96045,137.0,151.0,82.13,123.1292,113.67065,27.187859,29.514153,19.993,0.12818,0.66199,0.36571,0.12809,0.08563,2025-02-04
CL,Consumer Defensive,buy,97.23227,99.0,110.0,83.0,91.498,96.25175,21.537235,24.643875,16.674,0.16329001,4.87923,0.6042,0.24340999,0.14264,2025-02-04
EW,Healthcare,buy,79.489,79.035,96.8,60.0,72.218,75.5256,29.156773,27.540543,18.708,0.106479995,0.19139,0.766,0.32501,0.65859,2025-02-04
VRTX,Healthcare,buy,490.56,500.0,591.0,330.0,437.7822,459.3787,25.576082,,26.174,0.12051,-0.029849999,0.53591,0.41847,-0.045149997,2025-02-04
ADP,Technology,hold,308.34332,310.0,350.0,283.0,297.742,271.88736,28.014963,31.769552,21.669,0.06544,0.87263,0.48112,0.29365999,0.19715,2025-02-04
HUM,Healthcare,buy,297.59546,289.0,425.0,248.0,277.3748,316.7077,17.481604,25.787958,6.501,0.040149998,0.078379996,0.14734,0.03286,0.011820001,2025-02-04
ICE,Financial Services,buy,179.4375,179.5,216.0,148.0,153.8628,150.23814,23.94533,37.93334,20.312,0.01983,0.09408,1.0,0.60697,0.26525998,2025-02-04
REGN,Healthcare,buy,949.6548,970.0,1200.0,565.0,721.6196,947.15405,14.619864,17.249443,14.061,0.07414,0.17166,0.50754,0.33206,0.33613998,2025-02-04
FISV,,,,,,,,,,,,,,,,,2025-02-04
SHW,Basic Materials,buy,385.4439,405.0,444.0,247.0,361.695,345.74396,26.08185,33.894787,23.224,0.10068,0.64452004,0.48455003,0.19084999,0.11094,2025-02-04
ITW,Industrials,hold,264.04474,266.0,318.0,215.0,262.8326,252.65205,23.879465,22.050215,17.806,0.17029,1.08036,0.4389,0.29167998,0.21663,2025-02-04
FDX,Industrials,buy,320.6931,328.0,372.0,200.0,279.9712,276.92984,11.056176,16.024904,,0.047270004,0.1507,0.2699,0.12427,0.0462,2025-02-04
ETN,Industrials,buy,374.16208,381.22,418.18,288.0,350.3018,328.42166,23.294582,33.161224,25.211,0.07403,0.20079,0.37834,0.2215,0.15314001,2025-02-04
CSX,Industrials,buy,37.01231,37.5,42.0,28.0,33.459,33.8071,15.572811,18.363129,11.461,0.08164,0.29458,0.48981997,0.48981997,0.24971001,2025-02-04
APD,Basic Materials,buy,355.09454,352.04,385.0,300.0,312.9616,286.408,23.887518,19.470419,20.67,0.049689997,0.2258,0.32493,0.35507,0.31636,2025-02-04
GM,Consumer Cyclical,buy,60.16846,59.0,85.0,37.0,52.794,48.57425,4.160549,7.624804,9.023,0.026989998,0.14167,0.1201,0.10054,0.06058,2025-02-04
PGR,Financial Services,buy,279.7647,290.0,338.0,163.0,248.0994,233.8826,16.128445,17.23419,13.891,0.06895,0.36411,0.1521,0.15041,0.112720005,2025-02-04
AON,Financial Services,hold,389.76633,395.0,445.0,313.0,367.7722,334.6006,19.25607,30.245193,22.728,0.05684,0.82182,0.46858,0.28775,0.16320999,2025-02-04
ADSK,Technology,buy,330.5075,332.5,400.0,275.0,300.6916,262.46964,33.15061,61.1255,49.489,0.0889,0.57445997,0.91920996,0.24048,0.18208,2025-02-04
COF,Financial Services,buy,214.08,216.5,257.0,176.0,187.3436,156.82475,10.762599,17.296457,,0.0091,0.07479,,,0.16455,2025-02-04
EOG,Energy,buy,146.16258,145.0,175.0,126.0,128.9304,127.20675,11.086785,10.340596,5.246,0.12552,0.24908,0.61603,0.55179,0.2992,2025-02-04
MAR,Consumer Cyclical,hold,283.72,287.0,330.0,200.0,283.3788,252.30095,27.37251,30.41318,23.045,0.091450006,,0.81948,0.62603,0.42131,2025-02-04
KLAC,Technology,buy,822.5114,835.0,950.0,655.0,673.7392,733.837,22.9536,31.537037,23.888,0.16156,0.90577006,0.59748,0.41428003,0.28921,2025-02-04
PSA,Real Estate,buy,338.6111,341.0,378.0,299.0,310.9478,311.17566,28.060757,30.75026,19.427,0.06983,0.19163999,0.73433,0.71362,0.40367,2025-02-04
BIIB,Healthcare,buy,228.32759,220.0,342.0,138.0,151.1264,192.49866,8.753393,12.883364,8.906,0.0499,0.1047,0.75589997,0.30029,0.16812,2025-02-04
SLB,Energy,buy,53.23677,54.0,64.0,44.0,40.7542,43.92465,10.914232,13.25402,8.333,0.08113,0.21722999,0.20417,0.22589001,0.12441,2025-02-04
MS,Financial Services,hold,137.33333,140.0,156.0,106.0,130.3928,110.10545,14.458834,17.182161,,0.00935,0.11079001,0.86546,,0.19205,2025-02-04
HCA,Healthcare,buy,377.15,384.0,438.0,316.0,315.489,344.84335,11.993728,15.218182,9.259,0.115109995,11.954511,0.4058,0.19745001,0.085159995,2025-02-04
EL,Consumer Defensive,hold,84.48889,80.0,162.0,61.1,76.564,96.44875,26.676958,124.05357,15.329,0.04572,0.03857,0.72358,0.15779,0.01314,2025-02-04
EMR,Industrials,buy,140.15259,140.0,164.0,105.0,127.4722,114.42355,19.727531,45.120144,18.106,0.04335,0.05933,0.52115,0.26378,0.11251,2025-02-04
ROST,Consumer Cyclical,buy,167.29,173.0,190.0,124.09,150.9892,145.25536,21.785088,23.141731,16.296,0.11096,0.43236,0.32478002,0.14146,0.09824,2025-02-04
CDNS,Technology,buy,323.47455,337.5,365.0,225.0,305.2666,288.08774,43.823772,79.0686,56.323,0.10872,0.27072,0.87789,0.33315,0.23868,2025-02-04
MPC,Energy,buy,166.63158,170.0,192.0,141.0,147.4048,164.3526,12.672612,12.173002,7.569,0.05155,0.21053,0.10097,0.07248,0.031719998,2025-02-04
ILMN,Healthcare,buy,162.324,164.0,250.0,120.0,138.5278,127.24528,27.887928,,30.86,0.026180001,-0.39511,0.67608,0.16629,-0.36105,2025-02-04
TFC,Financial Services,buy,51.68421,51.0,60.0,46.0,45.7086,42.23745,10.216998,,,-0.01138,-0.09505,,,-0.10678001,2025-02-04
GPN,Industrials,buy,132.32414,130.0,172.57,92.83,113.0032,106.905,8.624419,20.76415,10.014,0.03162,0.06064,0.62988997,0.43456,0.13612,2025-02-04
IDXX,Healthcare,buy,492.0077,520.0,566.0,400.0,424.9018,468.01556,34.319912,43.66479,27.127,0.22787,0.59424,0.60716,0.33797002,0.22530001,2025-02-04
ECL,Basic Materials,buy,272.956,279.5,300.0,215.0,242.3022,242.3285,33.391438,34.85154,21.756,0.07416,0.25164,0.43179,0.22575001,0.13045,2025-02-04
CTSH,Technology,hold,84.74304,83.0,100.0,71.0,79.242,74.2587,16.82595,18.482302,11.799,0.097799994,0.16478,0.3436,0.17875999,0.116009995,2025-02-04
ROP,Technology,buy,631.87933,640.0,778.0,540.0,538.8074,544.6251,26.587399,40.199722,24.274,0.040489998,0.08238,0.69679,0.40331,0.21784,2025-02-04
MTD,Healthcare,hold,1343.5125,1350.0,1500.0,1150.0,1263.5214,1355.9858,31.818968,36.159515,26.552,0.20142001,,0.59484,0.30366,0.21148,2025-02-04
VLO,Energy,buy,148.38632,152.0,168.0,128.0,131.9188,143.5681,12.985197,16.665503,6.72,0.051090002,0.13797,0.05841,0.06072,0.028670002,2025-02-04
PCAR,Industrials,hold,115.66611,119.0,134.0,93.0,110.6432,105.2699,11.77684,13.731646,10.847,0.084580004,0.27142,0.18491,0.16961001,0.13514,2025-02-04
WELL,Real Estate,buy,148.47368,146.0,221.0,125.0,130.9018,118.50115,74.455765,88.445854,34.388,0.01853,0.03417,0.41120997,0.38787997,0.121190004,2025-02-04
BAX,Healthcare,hold,39.58429,38.0,57.82,30.0,31.1828,34.89195,12.7744875,125.68,10.204,0.03159,0.01627,0.37465,0.18218,0.00717,2025-02-04
SPG,Real Estate,buy,186.52779,185.0,220.0,160.0,176.473,162.64716,26.713123,23.021248,18.607,0.057540003,0.81232,0.82616997,0.73669,0.41482,2025-02-04
AZO,Consumer Cyclical,buy,3600.9963,3700.0,3950.0,2750.0,3253.7056,3080.7458,19.988283,23.115477,15.79,0.14281,,0.53093,0.23462999,0.14399,2025-02-04
STZ,Consumer Defensive,buy,243.79584,240.0,300.0,190.0,216.4178,240.61725,11.884718,46.024,13.426,0.08984999,0.07111,0.5132,0.38145,0.05687,2025-02-04
F,Consumer Cyclical,hold,11.68125,11.0,19.0,8.0,10.2634,11.23595,6.1070166,11.545454,18.265,0.00746,0.0799,0.07679,0.051220004,0.01931,2025-02-04
DXCM,Healthcare,strong_buy,97.51333,97.0,120.0,75.0,80.4438,90.3236,43.36766,53.00606,40.576,0.06062,0.32061002,0.61684,0.21254,0.17218,2025-02-04
TRV,Financial Services,hold,268.48618,270.0,310.0,214.0,247.7662,230.0616,10.196442,11.362198,8.345,0.029289998,0.19059,0.2565,0.14818,0.10019,2025-02-04
OXY,Energy,hold,61.62481,60.0,89.0,45.0,49.4342,55.81675,12.166253,13.038356,6.028,0.045939997,0.13118,0.61772,0.47651002,0.16254999,2025-02-04
PH,Industrials,buy,746.79474,777.0,865.0,500.0,670.6404,598.83685,23.474937,28.48823,19.252,0.08545,0.24641001,0.36105,0.24827999,0.14468999,2025-02-04
WMB,Energy,buy,56.555,57.0,74.0,40.0,56.3284,47.6126,27.088781,23.61017,16.597,0.04398,0.20583001,0.60688996,0.5657,0.27754,2025-02-04
CME,Financial Services,hold,243.1875,251.5,275.0,190.0,234.3826,216.6286,23.34985,25.502628,20.934,0.01837,0.12297,1.0,0.69765,0.57434,2025-02-04
PXD,,,,,,,,,,,,,,,,,2025-02-04
AIG,Financial Services,buy,83.29,83.0,96.0,75.0,73.8666,75.1663,11.070532,14.457256,4.992,0.00827,0.085,0.27963,0.18766001,-0.04876,2025-02-04
KMB,Consumer Defensive,hold,143.83578,143.0,168.0,118.0,131.631,136.9157,16.276865,17.125828,12.916,0.114630006,2.30998,0.36408,0.19393,0.1297,2025-02-04
EXC,Utilities,buy,42.89625,43.0,47.0,39.0,38.304,37.9388,15.398758,16.683128,12.068,0.02596,0.0933,0.4073,0.31181,0.106000006,2025-02-04
ADM,Consumer Defensive,hold,54.8,54.5,64.0,50.0,51.5376,57.7146,9.758192,13.339889,9.185,0.03415,0.1075,0.07441,0.04493,0.0293,2025-02-04
DLR,Real Estate,buy,188.26086,200.0,226.0,114.0,181.04,160.8906,157.0577,132.79674,31.025,0.0086900005,0.01956,0.52721,0.43491,0.08209,2025-02-04
WBA,Healthcare,hold,12.34733,11.5,20.0,7.0,9.9986,11.6562,6.7462025,,14.024,0.0058999998,-0.75969005,0.17963,0.01953,-0.05849,2025-02-04
AEP,Utilities,hold,100.74706,102.0,116.0,93.0,95.397,94.8343,16.642693,19.73387,13.323,0.026129998,0.10182,0.45083,0.37028,0.13464,2025-02-04
SYY,Consumer Defensive,buy,83.3625,82.5,95.0,77.0,76.1544,75.2069,14.397339,18.307692,11.44,0.08924,0.88346,0.18459,0.05534,0.024360001,2025-02-04
SBAC,Real Estate,buy,252.5,254.5,300.0,205.0,208.2204,213.6969,20.760902,31.108662,19.96,0.08582,,0.77515,0.67112,0.25759,2025-02-04
HPQ,Technology,hold,36.19467,36.5,40.0,30.0,34.2198,34.48015,8.558526,11.3914585,9.041,0.07047,,0.22134,0.09462,0.053319998,2025-02-04
